,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Position,International Caps,International Goals,Club,Club Country
62,Hassan,Haydos,"Haydos, Hassan",11 December 1990,11,December,1990,MF,169,36,Al-Sadd,Qatar
63,Akram,Afif,"Afif, Akram",18 November 1996,18,November,1996,FW,89,26,Al-Sadd,Qatar
64,Karim,Boudiaf,"Boudiaf, Karim",16 September 1990,16,September,1990,MF,115,6,Al-Duhail,Qatar
65,Musab,Kheder,"Kheder, Musab",1 January 1993,1,January,1993,DF,30,0,Al-Sadd,Qatar
66,Homam,Ahmed,"Ahmed, Homam",25 August 1999,25,August,1999,DF,29,2,Al-Gharafa,Qatar
67,Bassam,Rawi,"Rawi, Bassam",16 December 1997,16,December,1997,DF,58,2,Al-Duhail,Qatar
68,Boualem,Khoukhi,"Khoukhi, Boualem",9 July 1990,9,July,1990,DF,105,20,Al-Sadd,Qatar
69,Ismaeel,Mohammad,"Mohammad, Ismaeel",5 April 1990,5,April,1990,DF,70,4,Al-Duhail,Qatar
70,Khalid,Muneer,"Muneer, Khalid",24 February 1998,24,February,1998,FW,2,0,Al-Wakrah,Qatar
71,Almoez,Ali,"Ali, Almoez",19 August 1996,19,August,1996,FW,85,42,Al-Duhail,Qatar
72,Salem,Hajri,"Hajri, Salem",10 April 1996,10,April,1996,MF,22,0,Al-Sadd,Qatar
73,Yousef,Hassan,"Hassan, Yousef",24 May 1996,24,May,1996,GK,7,0,Al-Gharafa,Qatar
74,Meshaal,Barsham,"Barsham, Meshaal",14 February 1998,14,February,1998,GK,20,0,Al-Sadd,Qatar
75,Assim,Madibo,"Madibo, Assim",22 October 1996,22,October,1996,MF,43,0,Al-Duhail,Qatar
76,Naif,Hadhrami,"Hadhrami, Naif",18 July 2001,18,July,2001,MF,1,0,Al-Rayyan,Qatar
77,Jassem,Gaber,"Gaber, Jassem",20 February 2002,20,February,2002,MF,0,0,Al-Arabi,Qatar
78,Mostafa,Meshaal,"Meshaal, Mostafa",28 March 2001,28,March,2001,MF,1,0,Al-Sadd,Qatar
79,Seny,Dieng,"Dieng, Seny",23 November 1994,23,November,1994,GK,4,0,Queens Park Rangers,England
80,Formose,Mendy,"Mendy, Formose",2 January 2001,2,January,2001,DF,2,0,Amiens,France
81,Kalidou,Koulibaly,"Koulibaly, Kalidou",20 June 1991,20,June,1991,DF,64,0,Chelsea,England
82,Pape Abou,Cisse,"Cisse, Pape Abou",14 September 1995,14,September,1995,DF,13,1,Olympiacos,Greece
83,Idrissa,Gueye,"Gueye, Idrissa",26 September 1989,26,September,1989,MF,96,7,Everton,England
84,Nampalys,Mendy,"Mendy, Nampalys",23 June 1992,23,June,1992,MF,19,0,Leicester City,England
85,Nicolas,Jackson,"Jackson, Nicolas",20 June 2001,20,June,2001,FW,0,0,Villarreal,Spain
86,Cheikhou,Kouyate,"Kouyate, Cheikhou",21 December 1989,21,December,1989,DF,83,4,Nottingham Forest,England
87,Boulaye,Dia,"Dia, Boulaye",16 November 1996,16,November,1996,FW,19,3,Salernitana,Italy
88,Moussa,Ndiaye,"Ndiaye, Moussa",18 June 2002,18,June,2002,DF,0,0,Anderlecht,Belgium
89,Pathe,Ciss,"Ciss, Pathe",16 March 1994,16,March,1994,MF,1,0,Rayo Vallecano,Spain
90,Fode,Ballo-Toure,"Ballo-Toure, Fode",3 January 1997,3,January,1997,DF,14,0,Milan,Italy
91,Iliman,Ndiaye,"Ndiaye, Iliman",6 March 2000,6,March,2000,FW,2,0,Sheffield United,England
92,Ismail,Jakobs,"Jakobs, Ismail",17 August 1999,17,August,1999,DF,2,0,Monaco,France
93,Krepin,Diatta,"Diatta, Krepin",25 February 1999,25,February,1999,MF,26,2,Monaco,France
94,Edouard,Mendy,"Mendy, Edouard",1 March 1992,1,March,1992,GK,25,0,Chelsea,England
95,Pape Matar,Sarr,"Sarr, Pape Matar",14 September 2002,14,September,2002,MF,10,0,Tottenham Hotspur,England
96,Ismaila,Sarr,"Sarr, Ismaila",25 February 1998,25,February,1998,FW,48,10,Watford,England
97,Famara,Diedhiou,"Diedhiou, Famara",15 December 1992,15,December,1992,FW,25,10,Alanyaspor,Turkey
98,Bamba,Dieng,"Dieng, Bamba",23 March 2000,23,March,2000,FW,13,1,Marseille,France
99,Youssouf,Sabaly,"Sabaly, Youssouf",5 March 1993,5,March,1993,DF,24,0,Real Betis,Spain
100,Abdou,Diallo,"Diallo, Abdou",4 May 1996,4,May,1996,DF,18,2,RB Leipzig,Germany
101,Alfred,Gomis,"Gomis, Alfred",5 September 1993,5,September,1993,GK,13,0,Rennes,France
102,Moustapha,Name,"Name, Moustapha",5 May 1995,5,May,1995,DF,6,0,Pafos,Cyprus
103,Mamadou,Loum,"Loum, Mamadou",30 December 1996,30,December,1996,MF,3,0,Reading,England
104,Pape,Gueye,"Gueye, Pape",24 January 1999,24,January,1999,MF,12,0,Marseille,France
105,Jordan,Pickford,"Pickford, Jordan",7 March 1994,7,March,1994,GK,45,0,Everton,England
106,Kyle,Walker,"Walker, Kyle",28 May 1990,28,May,1990,DF,70,0,Manchester City,England
107,Luke,Shaw,"Shaw, Luke",12 July 1995,12,July,1995,DF,23,3,Manchester United,England
108,Declan,Rice,"Rice, Declan",14 January 1999,14,January,1999,MF,34,2,West Ham United,England
109,John,Stones,"Stones, John",28 May 1994,28,May,1994,DF,59,3,Manchester City,England
110,Harry,Maguire,"Maguire, Harry",5 March 1993,5,March,1993,DF,48,7,Manchester United,England
111,Jack,Grealish,"Grealish, Jack",10 September 1995,10,September,1995,FW,24,1,Manchester City,England
112,Jordan,Henderson,"Henderson, Jordan",17 June 1990,17,June,1990,MF,70,2,Liverpool,England
113,Harry,Kane,"Kane, Harry",28 July 1993,28,July,1993,FW,75,51,Tottenham Hotspur,England
114,Raheem,Sterling,"Sterling, Raheem",8 December 1994,8,December,1994,FW,79,19,Chelsea,England
115,Marcus,Rashford,"Rashford, Marcus",31 October 1997,31,October,1997,FW,46,12,Manchester United,England
116,Kieran,Trippier,"Trippier, Kieran",19 September 1990,19,September,1990,DF,37,1,Newcastle United,England
117,Nick,Pope,"Pope, Nick",19 April 1992,19,April,1992,GK,10,0,Newcastle United,England
118,Kalvin,Phillips,"Phillips, Kalvin",2 December 1995,2,December,1995,MF,23,0,Manchester City,England
119,Eric,Dier,"Dier, Eric",15 January 1994,15,January,1994,DF,47,3,Tottenham Hotspur,England
120,Conor,Coady,"Coady, Conor",25 February 1993,25,February,1993,DF,10,1,Everton,England
121,Bukayo,Saka,"Saka, Bukayo",5 September 2001,5,September,2001,FW,20,4,Arsenal,England
122,Trent,Alexander-Arnold,"Alexander-Arnold, Trent",7 October 1998,7,October,1998,DF,17,1,Liverpool,England
123,Mason,Mount,"Mount, Mason",10 January 1999,10,January,1999,MF,32,5,Chelsea,England
124,Phil,Foden,"Foden, Phil",28 May 2000,28,May,2000,MF,18,2,Manchester City,England
125,Ben,White,"White, Ben",8 October 1997,8,October,1997,DF,4,0,Arsenal,England
126,Jude,Bellingham,"Bellingham, Jude",29 June 2003,29,June,2003,MF,17,0,Borussia Dortmund,Germany
127,Aaron,Ramsdale,"Ramsdale, Aaron",14 May 1998,14,May,1998,GK,3,0,Arsenal,England
128,Callum,Wilson,"Wilson, Callum",27 February 1992,27,February,1992,FW,4,1,Newcastle United,England
129,James,Maddison,"Maddison, James",23 November 1996,23,November,1996,MF,1,0,Leicester City,England
130,Conor,Gallagher,"Gallagher, Conor",6 February 2000,6,February,2000,MF,4,0,Chelsea,England
131,Alireza,Beiranvand,"Beiranvand, Alireza",21 September 1992,21,September,1992,GK,52,0,Persepolis,Iran
132,Sadegh,Moharrami,"Moharrami, Sadegh",1 March 1996,1,March,1996,DF,21,0,Dinamo Zagreb,Croatia
133,Ehsan,Hajsafi,"Hajsafi, Ehsan",25 February 1990,25,February,1990,DF,121,7,AEK Athens,Greece
134,Shojae,Khalilzadeh,"Khalilzadeh, Shojae",14 May 1989,14,May,1989,DF,25,1,Al-Ahli Doha,Qatar
135,Milad,Mohammadi,"Mohammadi, Milad",29 September 1993,29,September,1993,DF,45,1,AEK Athens,Greece
136,Saeid,Ezatolahi,"Ezatolahi, Saeid",1 October 1996,1,October,1996,MF,47,1,Vejle,Denmark
137,Alireza,Jahanbakhsh,"Jahanbakhsh, Alireza",11 August 1993,11,August,1993,MF,64,13,Feyenoord,Netherlands
138,Morteza,Pouraliganji,"Pouraliganji, Morteza",19 April 1992,19,April,1992,DF,46,3,Persepolis,Iran
139,Mehdi,Taremi,"Taremi, Mehdi",18 July 1992,18,July,1992,FW,60,28,Porto,Portugal
140,Karim,Ansarifard,"Ansarifard, Karim",3 April 1990,3,April,1990,FW,94,29,Omonia,Cyprus
141,Vahid,Amiri,"Amiri, Vahid",2 April 1988,2,April,1988,MF,68,2,Persepolis,Iran
142,Payam,Niazmand,"Niazmand, Payam",6 April 1995,6,April,1995,GK,1,0,Sepahan,Iran
143,Hossein,Kanaanizadegan,"Kanaanizadegan, Hossein",23 March 1994,23,March,1994,DF,35,2,Al-Ahli Doha,Qatar
144,Saman,Ghoddos,"Ghoddos, Saman",6 September 1993,6,September,1993,MF,33,2,Brentford,England
145,Rouzbeh,Cheshmi,"Cheshmi, Rouzbeh",24 July 1993,24,July,1993,DF,19,1,Esteghlal,Iran
146,Mehdi,Torabi,"Torabi, Mehdi",10 September 1994,10,September,1994,MF,36,7,Persepolis,Iran
147,Ali,Gholizadeh,"Gholizadeh, Ali",10 March 1996,10,March,1996,MF,26,6,Charleroi,Belgium
148,Ali,Karimi,"Karimi, Ali",11 February 1994,11,February,1994,MF,13,0,Kayserispor,Turkey
149,Majid,Hosseini,"Hosseini, Majid",20 June 1996,20,June,1996,DF,18,0,Kayserispor,Turkey
150,Sardar,Azmoun,"Azmoun, Sardar",1 January 1995,1,January,1995,FW,65,41,Bayer Leverkusen,Germany
151,Ahmad,Nourollahi,"Nourollahi, Ahmad",1 February 1993,1,February,1993,MF,25,3,Shabab Al-Ahli,United Arab Emirates
152,Amir,Abedzadeh,"Abedzadeh, Amir",26 April 1993,26,April,1993,GK,11,0,Ponferradina,Spain
153,Ramin,Rezaeian,"Rezaeian, Ramin",21 March 1990,21,March,1990,DF,46,2,Sepahan,Iran
154,Hossein,Hosseini,"Hosseini, Hossein",30 June 1992,30,June,1992,GK,6,0,Esteghlal,Iran
155,Abolfazl,Jalali,"Jalali, Abolfazl",26 June 1998,26,June,1998,DF,3,0,Esteghlal,Iran
156,Matt,Turner,"Turner, Matt",24 June 1994,24,June,1994,GK,20,0,Arsenal,England
157,Sergino,Dest,"Dest, Sergino",3 November 2000,3,November,2000,DF,19,2,Milan,Italy
158,Walker,Zimmerman,"Zimmerman, Walker",19 May 1993,19,May,1993,DF,33,3,Nashville SC,United States
159,Tyler,Adams,"Adams, Tyler",14 February 1999,14,February,1999,MF,32,1,Leeds United,England
160,Antonee,Robinson,"Robinson, Antonee",8 August 1997,8,August,1997,DF,29,2,Fulham,England
161,Yunus,Musah,"Musah, Yunus",29 November 2002,29,November,2002,MF,19,0,Valencia,Spain
162,Giovanni,Reyna,"Reyna, Giovanni",13 November 2002,13,November,2002,FW,14,4,Borussia Dortmund,Germany
163,Weston,Mckennie,"Mckennie, Weston",28 August 1998,28,August,1998,MF,37,9,Juventus,Italy
164,Jesus,Ferreira,"Ferreira, Jesus",24 December 2000,24,December,2000,FW,15,7,FC Dallas,United States
165,Christian,Pulisic,"Pulisic, Christian",18 September 1998,18,September,1998,FW,52,21,Chelsea,England
166,Brenden,Aaronson,"Aaronson, Brenden",22 October 2000,22,October,2000,FW,24,6,Leeds United,England
167,Ethan,Horvath,"Horvath, Ethan",9 June 1995,9,June,1995,GK,8,0,Luton Town,England
168,Tim,Ream,"Ream, Tim",5 October 1987,5,October,1987,DF,46,1,Fulham,England
169,Luca de la,Torre,"Torre, Luca de la",23 May 1998,23,May,1998,MF,12,0,Celta Vigo,Spain
170,Aaron,Long,"Long, Aaron",12 October 1992,12,October,1992,DF,29,3,New York Red Bulls,United States
171,Jordan,Morris,"Morris, Jordan",26 October 1994,26,October,1994,FW,49,11,Seattle Sounders FC,United States
172,Cristian,Roldan,"Roldan, Cristian",3 June 1995,3,June,1995,MF,32,0,Seattle Sounders FC,United States
173,Shaq,Moore,"Moore, Shaq",2 November 1996,2,November,1996,DF,15,1,Nashville SC,United States
174,Haji,Wright,"Wright, Haji",27 March 1998,27,March,1998,FW,3,1,Antalyaspor,Turkey
175,Cameron,Carter-Vickers,"Carter-Vickers, Cameron",31 December 1997,31,December,1997,DF,11,0,Celtic,Scotland
176,Timothy,Weah,"Weah, Timothy",22 February 2000,22,February,2000,FW,25,3,Lille,France
177,Deandre,Yedlin,"Yedlin, Deandre",9 July 1993,9,July,1993,DF,75,0,Inter Miami CF,United States
178,Kellyn,Acosta,"Acosta, Kellyn",24 July 1995,24,July,1995,MF,53,2,Los Angeles FC,United States
179,Josh,Sargent,"Sargent, Josh",20 February 2000,20,February,2000,FW,20,5,Norwich City,England
180,Sean,Johnson,"Johnson, Sean",31 May 1989,31,May,1989,GK,10,0,New York City FC,United States
181,Joe,Scally,"Scally, Joe",31 December 2002,31,December,2002,DF,3,0,Borussia Mönchengladbach,Germany
182,Wayne,Hennessey,"Hennessey, Wayne",24 January 1987,24,January,1987,GK,106,0,Nottingham Forest,England
183,Chris,Gunter,"Gunter, Chris",21 July 1989,21,July,1989,DF,109,0,AFC Wimbledon,England
184,Neco,Williams,"Williams, Neco",13 April 2001,13,April,2001,DF,23,2,Nottingham Forest,England
185,Ben,Davies,"Davies, Ben",24 April 1993,24,April,1993,DF,74,1,Tottenham Hotspur,England
186,Chris,Mepham,"Mepham, Chris",5 November 1997,5,November,1997,DF,33,0,Bournemouth,England
187,Joe,Rodon,"Rodon, Joe",22 October 1997,22,October,1997,DF,30,0,Rennes,France
188,Joe,Allen,"Allen, Joe",14 March 1990,14,March,1990,MF,72,2,Swansea City,Wales
189,Harry,Wilson,"Wilson, Harry",22 March 1997,22,March,1997,MF,39,5,Fulham,England
190,Brennan,Johnson,"Johnson, Brennan",23 May 2001,23,May,2001,FW,15,2,Nottingham Forest,England
191,Aaron,Ramsey,"Ramsey, Aaron",26 December 1990,26,December,1990,MF,75,20,Nice,France
192,Gareth,Bale,"Bale, Gareth",16 July 1989,16,July,1989,FW,108,40,Los Angeles FC,United States
193,Danny,Ward,"Ward, Danny",22 June 1993,22,June,1993,GK,26,0,Leicester City,England
194,Kieffer,Moore,"Moore, Kieffer",8 August 1992,8,August,1992,FW,28,9,Bournemouth,England
195,Connor,Roberts,"Roberts, Connor",23 September 1995,23,September,1995,DF,41,3,Burnley,England
196,Ethan,Ampadu,"Ampadu, Ethan",14 September 2000,14,September,2000,DF,37,0,Spezia,Italy
197,Joe,Morrell,"Morrell, Joe",3 January 1997,3,January,1997,MF,30,0,Portsmouth,England
198,Tom,Lockyer,"Lockyer, Tom",3 December 1994,3,December,1994,DF,14,0,Luton Town,England
199,Jonny,Williams,"Williams, Jonny",9 October 1993,9,October,1993,MF,33,2,Swindon Town,England
200,Mark,Harris,"Harris, Mark",29 December 1998,29,December,1998,FW,5,0,Cardiff City,Wales
201,Daniel,James,"James, Daniel",10 November 1997,10,November,1997,FW,38,5,Fulham,England
202,Adam,Davies,"Davies, Adam",17 July 1992,17,July,1992,GK,4,0,Sheffield United,England
203,Sorba,Thomas,"Thomas, Sorba",25 January 1999,25,January,1999,MF,6,0,Huddersfield Town,England
204,Dylan,Levitt,"Levitt, Dylan",17 November 2000,17,November,2000,MF,13,0,Dundee United,Scotland
205,Ben,Cabango,"Cabango, Ben",30 May 2000,30,May,2000,DF,5,0,Swansea City,Wales
206,Rubin,Colwill,"Colwill, Rubin",27 April 2002,27,April,2002,MF,7,1,Cardiff City,Wales
207,Matthew,Smith,"Smith, Matthew",22 November 1999,22,November,1999,MF,19,0,Milton Keynes Dons,England
208,Franco,Armani,"Armani, Franco",16 October 1986,16,October,1986,GK,18,0,River Plate,Argentina
209,Juan,Foyth,"Foyth, Juan",12 January 1998,12,January,1998,DF,16,0,Villarreal,Spain
210,Nicolas,Tagliafico,"Tagliafico, Nicolas",31 August 1992,31,August,1992,DF,42,0,Lyon,France
211,Gonzalo,Montiel,"Montiel, Gonzalo",1 January 1997,1,January,1997,DF,18,0,Sevilla,Spain
212,Leandro,Paredes,"Paredes, Leandro",29 June 1994,29,June,1994,MF,46,4,Juventus,Italy
213,German,Pezzella,"Pezzella, German",27 June 1991,27,June,1991,DF,32,2,Real Betis,Spain
214,Rodrigo,De Paul,"De Paul, Rodrigo",24 May 1994,24,May,1994,MF,44,2,Atlético Madrid,Spain
215,Marcos,Acuna,"Acuna, Marcos",28 October 1991,28,October,1991,MF,43,0,Sevilla,Spain
216,Julian,Alvarez,"Alvarez, Julian",31 January 2000,31,January,2000,FW,12,3,Manchester City,England
217,Lionel,Messi,"Messi, Lionel",24 June 1987,24,June,1987,FW,165,91,Paris Saint-Germain,France
218,Angel,Di Maria,"Di Maria, Angel",14 February 1988,14,February,1988,FW,124,27,Juventus,Italy
219,Geronimo,Rulli,"Rulli, Geronimo",20 May 1992,20,May,1992,GK,4,0,Villarreal,Spain
220,Cristian,Romero,"Romero, Cristian",27 April 1998,27,April,1998,DF,12,1,Tottenham Hotspur,England
221,Exequiel,Palacios,"Palacios, Exequiel",5 October 1998,5,October,1998,MF,20,0,Bayer Leverkusen,Germany
222,Angel,Correa,"Correa, Angel",9 March 1995,9,March,1995,FW,22,3,Atlético Madrid,Spain
223,Thiago,Almada,"Almada, Thiago",26 April 2001,26,April,2001,MF,1,0,Atlanta United FC,United States
224,Papu,Gomez,"Gomez, Papu",15 February 1988,15,February,1988,MF,15,3,Sevilla,Spain
225,Guido,Rodriguez,"Rodriguez, Guido",12 April 1994,12,April,1994,MF,26,1,Real Betis,Spain
226,Nicolas,Otamendi,"Otamendi, Nicolas",12 February 1988,12,February,1988,DF,93,4,Benfica,Portugal
227,Alexis,Mac Allister,"Mac Allister, Alexis",24 December 1998,24,December,1998,MF,8,0,Brighton & Hove Albion,England
228,Paulo,Dybala,"Dybala, Paulo",15 November 1993,15,November,1993,FW,34,3,Roma,Italy
229,Lautaro,Martinez,"Martinez, Lautaro",22 August 1997,22,August,1997,FW,40,21,Internazionale,Italy
230,Emiliano,Martinez,"Martinez, Emiliano",2 September 1992,2,September,1992,GK,19,0,Aston Villa,England
231,Enzo,Fernandez,"Fernandez, Enzo",17 January 2001,17,January,2001,MF,3,0,Benfica,Portugal
232,Lisandro,Martinez,"Martinez, Lisandro",18 January 1998,18,January,1998,DF,10,0,Manchester United,England
233,Nahuel,Molina,"Molina, Nahuel",6 April 1998,6,April,1998,DF,20,0,Atlético Madrid,Spain
234,Alfredo,Talavera,"Talavera, Alfredo",18 September 1982,18,September,1982,GK,40,0,Juárez,Mexico
235,Nestor,Araujo,"Araujo, Nestor",29 August 1991,29,August,1991,DF,63,3,América,Mexico
236,Cesar,Montes,"Montes, Cesar",24 February 1997,24,February,1997,DF,30,1,Monterrey,Mexico
237,Edson,Alvarez,"Alvarez, Edson",24 October 1997,24,October,1997,DF,58,3,Ajax,Netherlands
238,Johan,Vasquez,"Vasquez, Johan",22 October 1998,22,October,1998,DF,7,0,Cremonese,Italy
239,Gerardo,Arteaga,"Arteaga, Gerardo",7 September 1998,7,September,1998,DF,17,1,Genk,Belgium
240,Luis,Romo,"Romo, Luis",5 June 1995,5,June,1995,MF,27,1,Monterrey,Mexico
241,Carlos,Rodriguez,"Rodriguez, Carlos",3 January 1997,3,January,1997,MF,36,0,Cruz Azul,Mexico
242,Raul,Jimenez,"Jimenez, Raul",5 May 1991,5,May,1991,FW,95,29,Wolverhampton Wanderers,England
243,Alexis,Vega,"Vega, Alexis",25 November 1997,25,November,1997,FW,22,6,Guadalajara,Mexico
244,Rogelio,Funes Mori,"Funes Mori, Rogelio",5 March 1991,5,March,1991,FW,16,6,Monterrey,Mexico
245,Rodolfo,Cota,"Cota, Rodolfo",3 July 1987,3,July,1987,GK,8,0,León,Mexico
246,Guillermo,Ochoa,"Ochoa, Guillermo",13 July 1985,13,July,1985,GK,131,0,América,Mexico
247,Erick,Gutierrez,"Gutierrez, Erick",15 June 1995,15,June,1995,MF,34,1,PSV Eindhoven,Netherlands
248,Hector,Moreno,"Moreno, Hector",17 January 1988,17,January,1988,DF,128,5,Monterrey,Mexico
249,Hector,Herrera,"Herrera, Hector",19 April 1990,19,April,1990,MF,102,10,Houston Dynamo FC,United States
250,Orbelin,Pineda,"Pineda, Orbelin",24 March 1996,24,March,1996,FW,50,6,AEK Athens,Greece
251,Andres,Guardado,"Guardado, Andres",28 September 1986,28,September,1986,MF,178,28,Real Betis,Spain
