No,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Age,Position,Nationality,International Caps,International Goals,Club,League,Club Country
37,Steven,Berghuis,"Berghuis, Steven",19-Dec-91,19,December,1991,30,MF,Netherlands,39,2,Ajax,Holland Eredivisie,Netherlands
38,Noa,Lang,"Lang, Noa",17-Jun-99,17,June,1999,23,FW,Netherlands,5,1,Club Brugge,Belgian Jupiler Pro League,Belgium
39,Justin,Bijlow,"Bijlow, Justin",22-Jan-98,22,January,1998,24,GK,Netherlands,6,0,Feyenoord,Holland Eredivisie,Netherlands
40,Davy,Klaassen,"Klaassen, Davy",21-Feb-93,21,February,1993,29,MF,Netherlands,35,9,Ajax,Holland Eredivisie,Netherlands
41,Marten de,Roon,"Roon, Marten de",29-Mar-91,29,March,1991,31,MF,Netherlands,30,0,Atalanta,Italian Serie A,Italy
42,Tyrell,Malacia,"Malacia, Tyrell",17-Aug-99,17,August,1999,23,DF,Netherlands,6,0,Manchester United,English Premier League,England
43,Daley,Blind,"Blind, Daley",9-Mar-90,9,March,1990,32,DF,Netherlands,94,2,Ajax,Holland Eredivisie,Netherlands
44,Vincent,Janssen,"Janssen, Vincent",15-Jun-94,15,June,1994,28,FW,Netherlands,20,7,Antwerp,Belgian Jupiler Pro League,Belgium
45,Wout,Weghorst,"Weghorst, Wout",7-Aug-92,7,August,1992,30,FW,Netherlands,15,3,Beşiktaş,Turkish Süper Lig,Turkey
46,Teun,Koopmeiners,"Koopmeiners, Teun",28-Feb-98,28,February,1998,24,MF,Netherlands,10,1,Atalanta,Italian Serie A,Italy
47,Frenkie de,Jong,"Jong, Frenkie de",12-May-97,12,May,1997,25,MF,Netherlands,45,1,Barcelona,Spain Primera Division,Spain
48,Denzel,Dumfries,"Dumfries, Denzel",18-Apr-96,18,April,1996,26,DF,Netherlands,37,5,Internazionale,Italian Serie A,Italy
49,Andries,Noppert,"Noppert, Andries",7-Apr-94,7,April,1994,28,GK,Netherlands,0,0,Heerenveen,Holland Eredivisie,Netherlands
50,Kenneth,Taylor,"Taylor, Kenneth",16-May-02,16,May,2002,20,MF,Netherlands,2,0,Ajax,Holland Eredivisie,Netherlands
51,Xavi,Simons,"Simons, Xavi",21-Apr-03,21,April,2003,19,MF,Netherlands,0,0,PSV Eindhoven,Holland Eredivisie,Netherlands
52,Jeremie,Frimpong,"Frimpong, Jeremie",10-Dec-00,10,December,2000,21,DF,Netherlands,0,0,Bayer Leverkusen,German 1. Bundesliga,Germany
53,Saad,Sheeb,"Sheeb, Saad",19-Feb-90,19,February,1990,32,GK,Qatar,76,0,Al-Sadd,Qatar Stars League,Qatar
54,Ro-Ro,,Ro-Ro,6-Aug-90,6,August,1990,32,DF,Qatar,80,1,Al-Sadd,Qatar Stars League,Qatar
55,Abdelkarim,Hassan,"Hassan, Abdelkarim",28-Aug-93,28,August,1993,29,MF,Qatar,130,15,Al-Sadd,Qatar Stars League,Qatar
56,Mohammed,Waad,"Waad, Mohammed",18-Sep-99,18,September,1999,23,DF,Qatar,21,0,Al-Sadd,Qatar Stars League,Qatar
57,Tarek,Salman,"Salman, Tarek",5-Dec-97,5,December,1997,24,DF,Qatar,58,0,Al-Sadd,Qatar Stars League,Qatar
58,Abdulaziz,Hatem,"Hatem, Abdulaziz",1-Jan-90,1,January,1990,32,MF,Qatar,107,11,Al-Rayyan,Qatar Stars League,Qatar
59,Ahmed,Alaaeldin,"Alaaeldin, Ahmed",31-Jan-93,31,January,1993,29,FW,Qatar,47,2,Al-Gharafa,Qatar Stars League,Qatar
60,Ali,Assadalla,"Assadalla, Ali",19-Jan-93,19,January,1993,29,MF,Qatar,59,12,Al-Sadd,Qatar Stars League,Qatar
61,Mohammed,Muntari,"Muntari, Mohammed",20-Dec-93,20,December,1993,28,FW,Qatar,48,13,Al-Duhail,Qatar Stars League,Qatar
62,Hassan,Haydos,"Haydos, Hassan",11-Dec-90,11,December,1990,31,MF,Qatar,169,36,Al-Sadd,Qatar Stars League,Qatar
63,Akram,Afif,"Afif, Akram",18-Nov-96,18,November,1996,26,FW,Qatar,89,26,Al-Sadd,Qatar Stars League,Qatar
64,Karim,Boudiaf,"Boudiaf, Karim",16-Sep-90,16,September,1990,32,MF,Qatar,115,6,Al-Duhail,Qatar Stars League,Qatar
65,Musab,Kheder,"Kheder, Musab",1-Jan-93,1,January,1993,29,DF,Qatar,30,0,Al-Sadd,Qatar Stars League,Qatar
66,Homam,Ahmed,"Ahmed, Homam",25-Aug-99,25,August,1999,23,DF,Qatar,29,2,Al-Gharafa,Qatar Stars League,Qatar
67,Bassam,Rawi,"Rawi, Bassam",16-Dec-97,16,December,1997,24,DF,Qatar,58,2,Al-Duhail,Qatar Stars League,Qatar
68,Boualem,Khoukhi,"Khoukhi, Boualem",9-Jul-90,9,July,1990,32,DF,Qatar,105,20,Al-Sadd,Qatar Stars League,Qatar
69,Ismaeel,Mohammad,"Mohammad, Ismaeel",5-Apr-90,5,April,1990,32,DF,Qatar,70,4,Al-Duhail,Qatar Stars League,Qatar
70,Khalid,Muneer,"Muneer, Khalid",24-Feb-98,24,February,1998,24,FW,Qatar,2,0,Al-Wakrah,Qatar Stars League,Qatar
71,Almoez,Ali,"Ali, Almoez",19-Aug-96,19,August,1996,26,FW,Qatar,85,42,Al-Duhail,Qatar Stars League,Qatar
72,Salem,Hajri,"Hajri, Salem",10-Apr-96,10,April,1996,26,MF,Qatar,22,0,Al-Sadd,Qatar Stars League,Qatar
73,Yousef,Hassan,"Hassan, Yousef",24-May-96,24,May,1996,26,GK,Qatar,7,0,Al-Gharafa,Qatar Stars League,Qatar
74,Meshaal,Barsham,"Barsham, Meshaal",14-Feb-98,14,February,1998,24,GK,Qatar,20,0,Al-Sadd,Qatar Stars League,Qatar
75,Assim,Madibo,"Madibo, Assim",22-Oct-96,22,October,1996,26,MF,Qatar,43,0,Al-Duhail,Qatar Stars League,Qatar
76,Naif,Hadhrami,"Hadhrami, Naif",18-Jul-01,18,July,2001,21,MF,Qatar,1,0,Al-Rayyan,Qatar Stars League,Qatar
77,Jassem,Gaber,"Gaber, Jassem",20-Feb-02,20,February,2002,20,MF,Qatar,0,0,Al-Arabi,Qatar Stars League,Qatar
78,Mostafa,Meshaal,"Meshaal, Mostafa",28-Mar-01,28,March,2001,21,MF,Qatar,1,0,Al-Sadd,Qatar Stars League,Qatar
79,Seny,Dieng,"Dieng, Seny",23-Nov-94,23,November,1994,28,GK,Senegal,4,0,Queens Park Rangers,English League Championship,England
80,Formose,Mendy,"Mendy, Formose",2-Jan-01,2,January,2001,21,DF,Senegal,2,0,Amiens,French Ligue 2,France
81,Kalidou,Koulibaly,"Koulibaly, Kalidou",20-Jun-91,20,June,1991,31,DF,Senegal,64,0,Chelsea,English Premier League,England
82,Pape Abou,Cisse,"Cisse, Pape Abou",14-Sep-95,14,September,1995,27,DF,Senegal,13,1,Olympiacos,Super League Greece,Greece
83,Idrissa,Gueye,"Gueye, Idrissa",26-Sep-89,26,September,1989,33,MF,Senegal,96,7,Everton,English Premier League,England
84,Nampalys,Mendy,"Mendy, Nampalys",23-Jun-92,23,June,1992,30,MF,Senegal,19,0,Leicester City,English Premier League,England
85,Nicolas,Jackson,"Jackson, Nicolas",20-Jun-01,20,June,2001,21,FW,Senegal,0,0,Villarreal,Spain Primera Division,Spain
86,Cheikhou,Kouyate,"Kouyate, Cheikhou",21-Dec-89,21,December,1989,32,DF,Senegal,83,4,Nottingham Forest,English League Championship,England
87,Boulaye,Dia,"Dia, Boulaye",16-Nov-96,16,November,1996,26,FW,Senegal,19,3,Salernitana,Italian Serie A,Italy
88,Moussa,Ndiaye,"Ndiaye, Moussa",18-Jun-02,18,June,2002,20,DF,Senegal,0,0,Anderlecht,Belgian Jupiler Pro League,Belgium
89,Pathe,Ciss,"Ciss, Pathe",16-Mar-94,16,March,1994,28,MF,Senegal,1,0,Rayo Vallecano,Spain Primera Division,Spain
90,Fode,Ballo-Toure,"Ballo-Toure, Fode",3-Jan-97,3,January,1997,25,DF,Senegal,14,0,Milan,Italian Serie A,Italy
91,Iliman,Ndiaye,"Ndiaye, Iliman",6-Mar-00,6,March,2000,22,FW,Senegal,2,0,Sheffield United,English League Championship,England
92,Ismail,Jakobs,"Jakobs, Ismail",17-Aug-99,17,August,1999,23,DF,Senegal,2,0,Monaco,French Ligue 1,France
93,Krepin,Diatta,"Diatta, Krepin",25-Feb-99,25,February,1999,23,MF,Senegal,26,2,Monaco,French Ligue 2,France
94,Edouard,Mendy,"Mendy, Edouard",1-Mar-92,1,March,1992,30,GK,Senegal,25,0,Chelsea,English Premier League,England
95,Pape Matar,Sarr,"Sarr, Pape Matar",14-Sep-02,14,September,2002,20,MF,Senegal,10,0,Tottenham Hotspur,English Premier League,England
96,Ismaila,Sarr,"Sarr, Ismaila",25-Feb-98,25,February,1998,24,FW,Senegal,48,10,Watford,English Premier League,England
97,Famara,Diedhiou,"Diedhiou, Famara",15-Dec-92,15,December,1992,29,FW,Senegal,25,10,Alanyaspor,Turkish Süper Lig,Turkey
98,Bamba,Dieng,"Dieng, Bamba",23-Mar-00,23,March,2000,22,FW,Senegal,13,1,Marseille,French Ligue 1,France
99,Youssouf,Sabaly,"Sabaly, Youssouf",5-Mar-93,5,March,1993,29,DF,Senegal,24,0,Real Betis,Spain Primera Division,Spain
100,Abdou,Diallo,"Diallo, Abdou",4-May-96,4,May,1996,26,DF,Senegal,18,2,RB Leipzig,German 1. Bundesliga,Germany
101,Alfred,Gomis,"Gomis, Alfred",5-Sep-93,5,September,1993,29,GK,Senegal,13,0,Rennes,French Ligue 1,France
102,Moustapha,Name,"Name, Moustapha",5-May-95,5,May,1995,27,DF,Senegal,6,0,Pafos,Cypriot First Division,Cyprus
103,Mamadou,Loum,"Loum, Mamadou",30-Dec-96,30,December,1996,25,MF,Senegal,3,0,Reading,English League Championship,England
104,Pape,Gueye,"Gueye, Pape",24-Jan-99,24,January,1999,23,MF,Senegal,12,0,Marseille,French Ligue 1,France
105,Jordan,Pickford,"Pickford, Jordan",7-Mar-94,7,March,1994,28,GK,England,45,0,Everton,English Premier League,England
106,Kyle,Walker,"Walker, Kyle",28-May-90,28,May,1990,32,DF,England,70,0,Manchester City,English Premier League,England
107,Luke,Shaw,"Shaw, Luke",12-Jul-95,12,July,1995,27,DF,England,23,3,Manchester United,English Premier League,England
108,Declan,Rice,"Rice, Declan",14-Jan-99,14,January,1999,23,MF,England,34,2,West Ham United,English Premier League,England
109,John,Stones,"Stones, John",28-May-94,28,May,1994,28,DF,England,59,3,Manchester City,English Premier League,England
110,Harry,Maguire,"Maguire, Harry",5-Mar-93,5,March,1993,29,DF,England,48,7,Manchester United,English Premier League,England
111,Jack,Grealish,"Grealish, Jack",10-Sep-95,10,September,1995,27,FW,England,24,1,Manchester City,English Premier League,England
112,Jordan,Henderson,"Henderson, Jordan",17-Jun-90,17,June,1990,32,MF,England,70,2,Liverpool,English Premier League,England
113,Harry,Kane,"Kane, Harry",28-Jul-93,28,July,1993,29,FW,England,75,51,Tottenham Hotspur,English Premier League,England
114,Raheem,Sterling,"Sterling, Raheem",8-Dec-94,8,December,1994,27,FW,England,79,19,Chelsea,English Premier League,England
115,Marcus,Rashford,"Rashford, Marcus",31-Oct-97,31,October,1997,25,FW,England,46,12,Manchester United,English Premier League,England
116,Kieran,Trippier,"Trippier, Kieran",19-Sep-90,19,September,1990,32,DF,England,37,1,Newcastle United,English Premier League,England
117,Nick,Pope,"Pope, Nick",19-Apr-92,19,April,1992,30,GK,England,10,0,Newcastle United,English Premier League,England
118,Kalvin,Phillips,"Phillips, Kalvin",2-Dec-95,2,December,1995,26,MF,England,23,0,Manchester City,English Premier League,England
119,Eric,Dier,"Dier, Eric",15-Jan-94,15,January,1994,28,DF,England,47,3,Tottenham Hotspur,English Premier League,England
120,Conor,Coady,"Coady, Conor",25-Feb-93,25,February,1993,29,DF,England,10,1,Everton,English Premier League,England
121,Bukayo,Saka,"Saka, Bukayo",5-Sep-01,5,September,2001,21,FW,England,20,4,Arsenal,English Premier League,England
122,Trent,Alexander-Arnold,"Alexander-Arnold, Trent",7-Oct-98,7,October,1998,24,DF,England,17,1,Liverpool,English Premier League,England
123,Mason,Mount,"Mount, Mason",10-Jan-99,10,January,1999,23,MF,England,32,5,Chelsea,English Premier League,England
124,Phil,Foden,"Foden, Phil",28-May-00,28,May,2000,22,MF,England,18,2,Manchester City,English Premier League,England
125,Ben,White,"White, Ben",8-Oct-97,8,October,1997,25,DF,England,4,0,Arsenal,English Premier League,England
126,Jude,Bellingham,"Bellingham, Jude",29-Jun-03,29,June,2003,19,MF,England,17,0,Borussia Dortmund,German 1. Bundesliga,Germany
127,Aaron,Ramsdale,"Ramsdale, Aaron",14-May-98,14,May,1998,24,GK,England,3,0,Arsenal,English Premier League,England
128,Callum,Wilson,"Wilson, Callum",27-Feb-92,27,February,1992,30,FW,England,4,1,Newcastle United,English Premier League,England
129,James,Maddison,"Maddison, James",23-Nov-96,23,November,1996,26,MF,England,1,0,Leicester City,English Premier League,England
130,Conor,Gallagher,"Gallagher, Conor",6-Feb-00,6,February,2000,22,MF,England,4,0,Chelsea,English Premier League,England
131,Alireza,Beiranvand,"Beiranvand, Alireza",21-Sep-92,21,September,1992,30,GK,Iran,52,0,Persepolis,Persian Gulf Pro League,Iran
132,Sadegh,Moharrami,"Moharrami, Sadegh",1-Mar-96,1,March,1996,26,DF,Iran,21,0,Dinamo Zagreb,Croatian Prva HNL,Croatia
133,Ehsan,Hajsafi,"Hajsafi, Ehsan",25-Feb-90,25,February,1990,32,DF,Iran,121,7,AEK Athens,Greek Super League,Greece
134,Shojae,Khalilzadeh,"Khalilzadeh, Shojae",14-May-89,14,May,1989,33,DF,Iran,25,1,Al-Ahli Doha,Qatar Stars League,Qatar
135,Milad,Mohammadi,"Mohammadi, Milad",29-Sep-93,29,September,1993,29,DF,Iran,45,1,AEK Athens,Greek Super League,Greece
136,Saeid,Ezatolahi,"Ezatolahi, Saeid",1-Oct-96,1,October,1996,26,MF,Iran,47,1,Vejle,Danish Superliga,Denmark
137,Alireza,Jahanbakhsh,"Jahanbakhsh, Alireza",11-Aug-93,11,August,1993,29,MF,Iran,64,13,Feyenoord,Holland Eredivisie,Netherlands
138,Morteza,Pouraliganji,"Pouraliganji, Morteza",19-Apr-92,19,April,1992,30,DF,Iran,46,3,Persepolis,Persian Gulf Pro League,Iran
139,Mehdi,Taremi,"Taremi, Mehdi",18-Jul-92,18,July,1992,30,FW,Iran,60,28,Porto,Portuguese Liga ZON SAGRES,Portugal
140,Karim,Ansarifard,"Ansarifard, Karim",3-Apr-90,3,April,1990,32,FW,Iran,94,29,Omonia,Cypriot First Division,Cyprus
141,Vahid,Amiri,"Amiri, Vahid",2-Apr-88,2,April,1988,34,MF,Iran,68,2,Persepolis,Persian Gulf Pro League,Iran
142,Payam,Niazmand,"Niazmand, Payam",6-Apr-95,6,April,1995,27,GK,Iran,1,0,Sepahan,Persian Gulf Pro League,Iran
143,Hossein,Kanaanizadegan,"Kanaanizadegan, Hossein",23-Mar-94,23,March,1994,28,DF,Iran,35,2,Al-Ahli Doha,Qatar Stars League,Qatar
144,Saman,Ghoddos,"Ghoddos, Saman",6-Sep-93,6,September,1993,29,MF,Iran,33,2,Brentford,English Premier League,England
145,Rouzbeh,Cheshmi,"Cheshmi, Rouzbeh",24-Jul-93,24,July,1993,29,DF,Iran,19,1,Esteghlal,Persian Gulf Pro League,Iran
146,Mehdi,Torabi,"Torabi, Mehdi",10-Sep-94,10,September,1994,28,MF,Iran,36,7,Persepolis,Persian Gulf Pro League,Iran
147,Ali,Gholizadeh,"Gholizadeh, Ali",10-Mar-96,10,March,1996,26,MF,Iran,26,6,Charleroi,Belgian Jupiler Pro League,Belgium
148,Ali,Karimi,"Karimi, Ali",11-Feb-94,11,February,1994,28,MF,Iran,13,0,Kayserispor,Turkish Süper Liga,Turkey
149,Majid,Hosseini,"Hosseini, Majid",20-Jun-96,20,June,1996,26,DF,Iran,18,0,Kayserispor,Turkish Süper Liga,Turkey
150,Sardar,Azmoun,"Azmoun, Sardar",1-Jan-95,1,January,1995,27,FW,Iran,65,41,Bayer Leverkusen,German 1. Bundesliga,Germany
151,Ahmad,Nourollahi,"Nourollahi, Ahmad",1-Feb-93,1,February,1993,29,MF,Iran,25,3,Shabab Al-Ahli,UAE Pro League,United Arab Emirates
152,Amir,Abedzadeh,"Abedzadeh, Amir",26-Apr-93,26,April,1993,29,GK,Iran,11,0,Ponferradina,Spanish Segunda División,Spain
153,Ramin,Rezaeian,"Rezaeian, Ramin",21-Mar-90,21,March,1990,32,DF,Iran,46,2,Sepahan,Persian Gulf Pro League,Iran
154,Hossein,Hosseini,"Hosseini, Hossein",30-Jun-92,30,June,1992,30,GK,Iran,6,0,Esteghlal,Persian Gulf Pro League,Iran
155,Abolfazl,Jalali,"Jalali, Abolfazl",26-Jun-98,26,June,1998,24,DF,Iran,3,0,Esteghlal,Persian Gulf Pro League,Iran
156,Matt,Turner,"Turner, Matt",24-Jun-94,24,June,1994,28,GK,United States,20,0,Arsenal,English Premier League,England
157,Sergino,Dest,"Dest, Sergino",3-Nov-00,3,November,2000,22,DF,United States,19,2,Milan,Italian Serie 1,Italy
158,Walker,Zimmerman,"Zimmerman, Walker",19-May-93,19,May,1993,29,DF,United States,33,3,Nashville SC,USA Major League Soccer,United States
159,Tyler,Adams,"Adams, Tyler",14-Feb-99,14,February,1999,23,MF,United States,32,1,Leeds United,English Premier League,England
160,Antonee,Robinson,"Robinson, Antonee",8-Aug-97,8,August,1997,25,DF,United States,29,2,Fulham,English League Championship,England
161,Yunus,Musah,"Musah, Yunus",29-Nov-02,29,November,2002,20,MF,United States,19,0,Valencia,Spain Primera Division,Spain
162,Giovanni,Reyna,"Reyna, Giovanni",13-Nov-02,13,November,2002,20,FW,United States,14,4,Borussia Dortmund,German 1. Bundesliga,Germany
163,Weston,Mckennie,"Mckennie, Weston",28-Aug-98,28,August,1998,24,MF,United States,37,9,Juventus,Italian Serie A,Italy
164,Jesus,Ferreira,"Ferreira, Jesus",24-Dec-00,24,December,2000,21,FW,United States,15,7,FC Dallas,USA Major League Soccer,United States
165,Christian,Pulisic,"Pulisic, Christian",18-Sep-98,18,September,1998,24,FW,United States,52,21,Chelsea,English Premier League,England
166,Brenden,Aaronson,"Aaronson, Brenden",22-Oct-00,22,October,2000,22,FW,United States,24,6,Leeds United,English Premier League,England
167,Ethan,Horvath,"Horvath, Ethan",9-Jun-95,9,June,1995,27,GK,United States,8,0,Luton Town,English League Championship,England
168,Tim,Ream,"Ream, Tim",5-Oct-87,5,October,1987,35,DF,United States,46,1,Fulham,English League Championship,England
169,Luca de la,Torre,"Torre, Luca de la",23-May-98,23,May,1998,24,MF,United States,12,0,Celta Vigo,Spain Primera Division,Spain
170,Aaron,Long,"Long, Aaron",12-Oct-92,12,October,1992,30,DF,United States,29,3,New York Red Bulls,USA Major League Soccer,United States
171,Jordan,Morris,"Morris, Jordan",26-Oct-94,26,October,1994,28,FW,United States,49,11,Seattle Sounders FC,USA Major League Soccer,United States
172,Cristian,Roldan,"Roldan, Cristian",3-Jun-95,3,June,1995,27,MF,United States,32,0,Seattle Sounders FC,USA Major League Soccer,United States
173,Shaq,Moore,"Moore, Shaq",2-Nov-96,2,November,1996,26,DF,United States,15,1,Nashville SC,USA Major League Soccer,United States
174,Haji,Wright,"Wright, Haji",27-Mar-98,27,March,1998,24,FW,United States,3,1,Antalyaspor,Turkish Süper Lig,Turkey
175,Cameron,Carter-Vickers,"Carter-Vickers, Cameron",31-Dec-97,31,December,1997,24,DF,United States,11,0,Celtic,Scottish Premiership,Scotland
176,Timothy,Weah,"Weah, Timothy",22-Feb-00,22,February,2000,22,FW,United States,25,3,Lille,French Ligue 1,France
177,Deandre,Yedlin,"Yedlin, Deandre",9-Jul-93,9,July,1993,29,DF,United States,75,0,Inter Miami CF,USA Major League Soccer,United States
178,Kellyn,Acosta,"Acosta, Kellyn",24-Jul-95,24,July,1995,27,MF,United States,53,2,Los Angeles FC,USA Major League Soccer,United States
179,Josh,Sargent,"Sargent, Josh",20-Feb-00,20,February,2000,22,FW,United States,20,5,Norwich City,English Premier League,England
180,Sean,Johnson,"Johnson, Sean",31-May-89,31,May,1989,33,GK,United States,10,0,New York City FC,USA Major League Soccer,United States
181,Joe,Scally,"Scally, Joe",31-Dec-02,31,December,2002,19,DF,United States,3,0,Borussia Mönchengladbach,German 1. Bundesliga,Germany
182,Wayne,Hennessey,"Hennessey, Wayne",24-Jan-87,24,January,1987,35,GK,Wales,106,0,Nottingham Forest,English League Championship,England
183,Chris,Gunter,"Gunter, Chris",21-Jul-89,21,July,1989,33,DF,Wales,109,0,AFC Wimbledon,English League One,England
184,Neco,Williams,"Williams, Neco",13-Apr-01,13,April,2001,21,DF,Wales,23,2,Nottingham Forest,English League Championship,England
185,Ben,Davies,"Davies, Ben",24-Apr-93,24,April,1993,29,DF,Wales,74,1,Tottenham Hotspur,English Premier League,England
186,Chris,Mepham,"Mepham, Chris",5-Nov-97,5,November,1997,25,DF,Wales,33,0,Bournemouth,English League Championship,England
187,Joe,Rodon,"Rodon, Joe",22-Oct-97,22,October,1997,25,DF,Wales,30,0,Rennes,French Ligue 1,France
188,Joe,Allen,"Allen, Joe",14-Mar-90,14,March,1990,32,MF,Wales,72,2,Swansea City,English League Championship,Wales
189,Harry,Wilson,"Wilson, Harry",22-Mar-97,22,March,1997,25,MF,Wales,39,5,Fulham,English League Championship,England
190,Brennan,Johnson,"Johnson, Brennan",23-May-01,23,May,2001,21,FW,Wales,15,2,Nottingham Forest,English League Championship,England
191,Aaron,Ramsey,"Ramsey, Aaron",26-Dec-90,26,December,1990,31,MF,Wales,75,20,Nice,French Ligue 1,France
192,Gareth,Bale,"Bale, Gareth",16-Jul-89,16,July,1989,33,FW,Wales,108,40,Los Angeles FC,USA Major League Soccer,United States
193,Danny,Ward,"Ward, Danny",22-Jun-93,22,June,1993,29,GK,Wales,26,0,Leicester City,English Premier League,England
194,Kieffer,Moore,"Moore, Kieffer",8-Aug-92,8,August,1992,30,FW,Wales,28,9,Bournemouth,English League Championship,England
